=== EMPLOYEE DATABASE (for Query testing) ===,,,,,,,,=== QUERY CRITERIA EXAMPLES ===,
EmpID,Name,Department,Salary,HireYear,Rating,Status,,--- Criteria 1: Engineering ---,
1001,Alice Johnson,Sales,"$75,000.00",2019,4.50,Active,,Department,
1002,Bob Smith,Engineering,"$92,000.00",2018,4.80,Active,,Engineering,
1003,Carol Davis,Marketing,"$68,000.00",2020,3.90,Active,,,
1004,David Wilson,Engineering,"$105,000.00",2015,4.90,Active,,--- Criteria 2: Salary>80000 ---,
1005,Eve Martinez,Sales,"$71,000.00",2021,4.20,OnLeave,,Salary,
1006,Frank Brown,HR,"$62,000.00",2017,3.70,Active,,>80000,
1007,Grace Lee,Engineering,"$88,000.00",2019,4.60,Active,,,
1008,Henry Taylor,Marketing,"$73,000.00",2020,4,Active,,--- Criteria 3: Active Sales ---,
1009,Ivy Chen,Sales,"$82,000.00",2016,4.70,Active,,Department,Status
1010,Jack Miller,Engineering,"$95,000.00",2018,4.40,Terminated,,Sales,Active
,,,"$811,000.00",,4.37,,,,
,,,,,,,,,
,,,,,,,,--- Criteria 4: Name contains 'a' ---,
=== MONTHLY REVENUE (Line/Bar charts) ===,,,,,=== SPECIAL VALUES,=== MALFORMED FORMULAS,,Name,
Month,2023,2024,Growth%,,inf,#REF!,,*a*,
Jan,45000,52000,15.56%,,-inf,#ERR!,,,
Feb,48000,55000,14.58%,,nan,#REF!,,--- Output Area ---,
Mar,52000,61000,17.31%,,0,#ERR!,,(Set Output to I19 for Extract),
Apr,49000,58000,18.37%,,0,#ERR!,,,
May,54000,63000,16.67%,,0,#REF!,,,
Jun,58000,68000,17.24%,,inf,#ERR!,,,
Total,306000,357000,16.62%,,,,,,
,,,,,,,,,
,,,,,,,,,
=== PRODUCT MIX (Pie chart) ===,,,,,,,,,
Product,Revenue,Share%,,,,,,,
Software,125000,41.67,,,,,,,
Hardware,85000,28.33,,,,,,,
Services,65000,21.67,,,,,,,
Training,25000,8.33,,,,,,,
Total,300000,100,,,,,,,
,,,,,,,,,
,,,,,,,,,
=== XY SCATTER (Correlation) ===,,,=== STACKED BAR (Composition) ===,,,,,,
AdSpend,Sales,,Region,Q1,Q2,Q3,Q4,,
1000,15000,,North,12000,15000,18000,22000,,
2000,22000,,South,9000,11000,13000,16000,,
3000,31000,,East,14000,16000,19000,23000,,
4000,38000,,West,11000,13000,15000,18000,,
5000,47000,,Total,46000,55000,65000,79000,,
6000,52000,,,,,,,,
7000,61000,,,,,,,,
8000,68000,,,,,,,,
,,,,,,,,,
,,,,,,,,,
=== FORMULA SHOWCASE ===,,,,,=== QUERY TESTING GUIDE ===,,,,
Function,Formula,Result,Description,,1. Input range: A2:G12 (employee DB),,,,
SUM,=SUM(B17:B22),306000,Sum of 2023 revenue,,2. Criteria examples in column I,,,,
AVG,=AVG(D4:D12),161666.67,Avg employee salary,,"3. Use wildcards: *text*, ?",,,,
MAX,=MAX(D4:D12),811000,Highest salary,,"4. Comparisons: >80000, <=2019",,,,
MIN,=MIN(D4:D12),62000,Lowest salary,,,,,,
COUNT,=COUNT(D4:D12),9,Number of employees,,=== GRAPH TESTING GUIDE ===,,,,
IF,"=IF(C23>300000,""Good"",""Low"")",Good,Conditional logic,,"Line: X=A17:A22, A=B17:B22",,,,
ROUND,"=ROUND(D17,1)",0.20,Round to 1 decimal,,"Bar: X=A17:A22, A=C17:C22",,,,
ABS,=ABS(-500),500,Absolute value,,"Pie: A=A28:A31, B=B28:B31",,,,
SQRT,=SQRT(144),12,Square root,,"XY: X=A37:A44, A=B37:B44",,,,
POWER,"=POWER(2,8)",256,2 to the 8th,,"Stacked: X=D36:D40, A-D=E-H",,,,
PI,=PI(),3.14,Pi constant,,,,,,
MOD,"=MOD(17,5)",2,Remainder of 17/5,,,,,,
INT,=INT(9.7),9,Integer part,,,,,,
